paymentType,userId,businessId,reservableItemId,reservableTimeId,requestQuantity
WALLET,307454,68718,2061540,6184619,2
WALLET,583613,33016,990477,2971431,2
WALLET,574257,30567,917007,2751021,2
WALLET,853952,51473,1544189,4632565,2
WALLET,914048,49784,1493517,4480551,2
WALLET,320194,52927,1587785,4763355,2
WALLET,674577,34179,1025351,3076053,2
WALLET,39930,15768,473029,1419085,2
WALLET,648911,45320,1359595,4078785,2
WALLET,874036,77823,2334675,7004024,2
WALLET,28255,91608,2748217,8244650,2
WALLET,372795,61126,1833777,5501331,2
WALLET,213768,2767,82996,248988,2
WALLET,130173,44090,1322697,3968090,2
WALLET,507231,52144,1564318,4692952,2
WALLET,980295,1368,41028,123084,2
WALLET,255908,61749,1852447,5557339,2
WALLET,440762,82859,2485770,7457308,2
WALLET,986081,57214,1716402,5149205,2
WALLET,835988,34991,1049705,3149113,2
WALLET,569782,62579,1877353,5632058,2
WALLET,364704,72407,2172201,6516603,2
WALLET,419608,36527,1095810,3287430,2
WALLET,977200,31173,935167,2805501,2
WALLET,466901,10198,305912,917734,2
WALLET,850092,16847,505393,1516179,2
WALLET,270436,21145,634330,1902988,2
WALLET,372536,23122,693647,2080941,2
WALLET,920141,37935,1138038,3414112,2
WALLET,776995,49306,1479160,4437480,2
WALLET,559879,12487,374594,1123780,2
WALLET,144552,81352,2440539,7321616,2
WALLET,917359,7047,211402,634205,2
WALLET,17749,54654,1639594,4918781,2
WALLET,423513,17032,510952,1532856,2
WALLET,277156,67544,2026319,6078956,2
WALLET,198225,64954,1948617,5845849,2
WALLET,286941,48511,1455320,4365960,2
WALLET,778183,84210,2526295,7578885,2
WALLET,259557,11502,345039,1035117,2
WALLET,566531,33281,998401,2995202,2
WALLET,222920,7478,224328,672982,2
WALLET,936651,38792,1163744,3491230,2
WALLET,281718,29237,877101,2631302,2
WALLET,904944,36415,1092426,3277278,2
WALLET,278695,36478,1094317,3282949,2
WALLET,154643,1898,56915,170745,2
WALLET,101613,37513,1125364,3376092,2
WALLET,675772,95964,2878897,8636689,2
WALLET,733740,96361,2890805,8672415,2
WALLET,921120,57252,1717546,5152636,2
WALLET,505506,950,28481,85441,2
WALLET,528829,77072,2312132,6936394,2
WALLET,539205,82085,2462537,7387609,2
WALLET,946529,6947,208384,625152,2
WALLET,745637,86104,2583105,7749314,2
WALLET,633715,16589,497647,1492939,2
WALLET,204167,3623,108674,326020,2
WALLET,535815,22954,688592,2065775,2
WALLET,398050,40442,1213231,3639691,2
WALLET,510412,13267,398004,1194010,2
WALLET,392763,95161,2854803,8564407,2
WALLET,966557,7259,217748,653244,2
WALLET,695351,65079,1952366,5857097,2
WALLET,900636,90222,2706645,8119934,2
WALLET,297379,77963,2338886,7016657,2
WALLET,457090,23511,705307,2115919,2
WALLET,204639,46510,1395279,4185837,2
WALLET,440578,73675,2210248,6630744,2
WALLET,147135,25609,768257,2304770,2
WALLET,192129,86197,2585889,7757665,2
WALLET,387673,82909,2487257,7461769,2
WALLET,603564,21819,654545,1963635,2
WALLET,846492,81710,2451286,7353857,2
