paymentType,userId,businessId,reservableItemId,reservableTimeId,requestQuantity
WALLET,973006,50001,1500001,4500001,2
WALLET,883329,50001,1500001,4500001,2
WALLET,21051,50001,1500001,4500001,2
WALLET,126605,50001,1500001,4500001,2
WALLET,526261,50001,1500001,4500001,2
WALLET,315891,50001,1500001,4500001,2
WALLET,918215,50001,1500001,4500001,2
WALLET,413231,50001,1500001,4500001,2
WALLET,363576,50001,1500001,4500001,2
WALLET,738538,50001,1500001,4500001,2
WALLET,849822,50001,1500001,4500001,2
WALLET,914774,50001,1500001,4500001,2
WALLET,391551,50001,1500001,4500001,2
WALLET,589090,50001,1500001,4500001,2
WALLET,13963,50001,1500001,4500001,2
WALLET,150791,50001,1500001,4500001,2
WALLET,645365,50001,1500001,4500001,2
WALLET,22851,50001,1500001,4500001,2
WALLET,940633,50001,1500001,4500001,2
WALLET,374270,50001,1500001,4500001,2
WALLET,938549,50001,1500001,4500001,2
WALLET,792834,50001,1500001,4500001,2
WALLET,378641,50001,1500001,4500001,2
WALLET,66478,50001,1500001,4500001,2
WALLET,63850,50001,1500001,4500001,2
WALLET,202301,50001,1500001,4500001,2
WALLET,772354,50001,1500001,4500001,2
WALLET,922189,50001,1500001,4500001,2
WALLET,344397,50001,1500001,4500001,2
WALLET,765280,50001,1500001,4500001,2
WALLET,134760,50001,1500001,4500001,2
WALLET,655357,50001,1500001,4500001,2
WALLET,339395,50001,1500001,4500001,2
WALLET,315192,50001,1500001,4500001,2
WALLET,842423,50001,1500001,4500001,2
WALLET,67870,50001,1500001,4500001,2
WALLET,25451,50001,1500001,4500001,2
WALLET,678680,50001,1500001,4500001,2
WALLET,752897,50001,1500001,4500001,2
WALLET,47219,50001,1500001,4500001,2
WALLET,183345,50001,1500001,4500001,2
WALLET,819646,50001,1500001,4500001,2
WALLET,2918,50001,1500001,4500001,2
WALLET,386623,50001,1500001,4500001,2
WALLET,69019,50001,1500001,4500001,2
WALLET,962535,50001,1500001,4500001,2
WALLET,854061,50001,1500001,4500001,2
WALLET,340340,50001,1500001,4500001,2
WALLET,773865,50001,1500001,4500001,2
WALLET,406162,50001,1500001,4500001,2
WALLET,205010,50001,1500001,4500001,2
WALLET,489928,50001,1500001,4500001,2
WALLET,32393,50001,1500001,4500001,2
WALLET,724914,50001,1500001,4500001,2
WALLET,753401,50001,1500001,4500001,2
WALLET,702103,50001,1500001,4500001,2
WALLET,356176,50001,1500001,4500001,2
WALLET,668974,50001,1500001,4500001,2
WALLET,522701,50001,1500001,4500001,2
WALLET,758338,50001,1500001,4500001,2
WALLET,231516,50001,1500001,4500001,2
WALLET,49215,50001,1500001,4500001,2
WALLET,274418,50001,1500001,4500001,2
WALLET,615298,50001,1500001,4500001,2
WALLET,283262,50001,1500001,4500001,2
WALLET,948506,50001,1500001,4500001,2
WALLET,254998,50001,1500001,4500001,2
WALLET,324428,50001,1500001,4500001,2
WALLET,202673,50001,1500001,4500001,2
WALLET,953806,50001,1500001,4500001,2
WALLET,980092,50001,1500001,4500001,2
WALLET,13612,50001,1500001,4500001,2
WALLET,527814,50001,1500001,4500001,2
WALLET,820444,50001,1500001,4500001,2
WALLET,313864,50001,1500001,4500001,2
WALLET,866240,50001,1500001,4500001,2
WALLET,323282,50001,1500001,4500001,2
WALLET,312007,50001,1500001,4500001,2
WALLET,952637,50001,1500001,4500001,2
WALLET,70165,50001,1500001,4500001,2
WALLET,202009,50001,1500001,4500001,2
WALLET,974167,50001,1500001,4500001,2
WALLET,280796,50001,1500001,4500001,2
WALLET,566381,50001,1500001,4500001,2
WALLET,914638,50001,1500001,4500001,2
WALLET,123907,50001,1500001,4500001,2
WALLET,246705,50001,1500001,4500001,2
WALLET,103664,50001,1500001,4500001,2
WALLET,897806,50001,1500001,4500001,2
WALLET,102418,50001,1500001,4500001,2
WALLET,114858,50001,1500001,4500001,2
WALLET,452413,50001,1500001,4500001,2
WALLET,408242,50001,1500001,4500001,2
WALLET,894311,50001,1500001,4500001,2
WALLET,346957,50001,1500001,4500001,2
WALLET,152118,50001,1500001,4500001,2
WALLET,670258,50001,1500001,4500001,2
WALLET,938293,50001,1500001,4500001,2
